Lat,Lng,City,Max Temperature,Humidity,Cloudiness,Wind Speed
43.3029037926579,2.1159561434485674,Castelnaudary,12,81,90,9.8
39.31672702712391,1.8712323199984446,santa eulalia del rio,,,,
36.797224891094835,-5.772198399520402,Arcos de la Frontera,15,93,100,4.1
40.890826562206996,-1.9859264678669168,Calatayud,11,66,0,1.5
39.66051795944537,-1.7890145497878134,Cuenca,5.7,90,76,1.76
43.37840405659769,-8.0497190982908,Fene,12,81,0,2.6
42.69871084946036,-2.0617580173758014,Beasain,18,54,0,1.5
39.522088993852,-8.628676552603412,Alcanena,14,87,75,4.1
38.7215500781182,-4.706112511337006,Pozoblanco,10.87,94,92,3.11
41.26053752136451,-3.5624687933597023,Aranda de Duero,6.97,84,44,4.16
